Provinsi ;Bekerja;Pengangguran;Tahun;Daerah
Maluku Utara;421282;13413;2022;Desa
Papua Barat;291608;10388;2022;Desa
Papua;1473428;21420;2022;Desa
Aceh;726921;53752;2019;Kota
Sumatera Utara;3540882;261803;2019;Kota
Sumatera Barat;1136607;80323;2019;Kota
Riau;1191409;103337;2019;Kota
Jambi;562669;29110;2019;Kota
Sumatera Selatan;1369064;100122;2019;Kota
Bengkulu;320117;12514;2019;Kota
Lampung;1210632;71095;2019;Kota
Kepulauan Bangka Belitung;387620;17129;2019;Kota
Kepulauan Riau;846792;65841;2019;Kota
DKI Jakarta;4836977;320901;2019;Kota
Jawa Barat;16740172;1462663;2019;Kota
Jawa Tengah;8782789;475659;2019;Kota
D.I. Yogyakarta;1515432;59581;2019;Kota
Jawa Timur;10775574;519754;2019;Kota
Banten;4038288;331087;2019;Kota
Bali;1635806;29706;2019;Kota
Nusa Tenggara Barat;1134876;47932;2019;Kota
Nusa Tenggara Timur;515767;37730;2019;Kota
Kalimantan Barat;758715;59216;2019;Kota
Kalimantan Tengah;534201;27765;2019;Kota
Kalimantan Selatan;916585;58375;2019;Kota
Kalimantan Timur;1146111;83510;2019;Kota
Kalimantan Utara;199202;10001;2019;Kota
Sulawesi Utara;580653;49199;2019;Kota
Sulawesi Tengah;423940;21270;2019;Kota
Sulawesi Selatan;1578792;132047;2019;Kota
Sulawesi Tenggara;414937;20466;2019;Kota
Gorontalo;235634;14187;2019;Kota
Sulawesi Barat;128030;5746;2019;Kota
Maluku;297329;32874;2019;Kota
Maluku Utara;141279;9836;2019;Kota
Papua Barat;164992;16368;2019;Kota
Papua;419017;41049;2019;Kota
Aceh;755662;73849;2020;Kota
Sumatera Utara;3625976;354315;2020;Kota
Sumatera Barat;1196111;122192;2020;Kota
Riau;1186089;113492;2020;Kota
Jambi;552195;43240;2020;Kota
Sumatera Selatan;1421794;133335;2020;Kota
Bengkulu;323860;18192;2020;Kota
Lampung;1259626;103384;2020;Kota
Kepulauan Bangka Belitung;375969;25574;2020;Kota
Kepulauan Riau;908491;110987;2020;Kota
DKI Jakarta;4659251;572780;2020;Kota
Jawa Barat;16495060;2054009;2020;Kota
Jawa Tengah;8767440;734297;2020;Kota
D.I. Yogyakarta;1552576;89061;2020;Kota
Jawa Timur;10922724;868608;2020;Kota
Banten;3960475;471380;2020;Kota
Bali;1637568;115070;2020;Kota
Nusa Tenggara Barat;1242243;65884;2020;Kota
Nusa Tenggara Timur;595681;53381;2020;Kota
Kalimantan Barat;781938;82702;2020;Kota
Kalimantan Tengah;541273;29280;2020;Kota
Kalimantan Selatan;920995;63519;2020;Kota
Kalimantan Timur;1118474;97337;2020;Kota
Kalimantan Utara;203127;12360;2020;Kota
Sulawesi Utara;571766;58900;2020;Kota
Sulawesi Tengah;446048;30139;2020;Kota
Sulawesi Selatan;1616751;187458;2020;Kota
Sulawesi Tenggara;435402;31468;2020;Kota
Gorontalo;232578;15967;2020;Kota
Sulawesi Barat;130418;6610;2020;Kota
Maluku;295563;41179;2020;Kota
Maluku Utara;148224;11838;2020;Kota
Papua Barat;177763;19634;2020;Kota
Papua;427370;42070;2020;Kota
Aceh;784750;69482;2021;Kota
Sumatera Utara;3709355;337816;2021;Kota
Sumatera Barat;1225222;116037;2021;Kota
Riau;1218562;91393;2021;Kota
Jambi;548562;43346;2021;Kota
Sumatera Selatan;1447443;133805;2021;Kota
Bengkulu;327402;16739;2021;Kota
Lampung;1288378;109759;2021;Kota
Kepulauan Bangka Belitung;387891;25665;2021;Kota
Kepulauan Riau;984125;114809;2021;Kota
DKI Jakarta;4737415;439899;2021;Kota
Jawa Barat;17210295;2034163;2021;Kota
Jawa Tengah;9118690;693137;2021;Kota
D.I. Yogyakarta;1607589;92428;2021;Kota
Jawa Timur;11160546;882759;2021;Kota
Banten;4157572;405535;2021;Kota
Bali;1672070;110573;2021;Kota
Nusa Tenggara Barat;1304775;52312;2021;Kota
Nusa Tenggara Timur;629269;53859;2021;Kota
Kalimantan Barat;816574;86410;2021;Kota
Kalimantan Tengah;562534;30762;2021;Kota
Kalimantan Selatan;944536;67342;2021;Kota
Kalimantan Timur;1136938;93567;2021;Kota
Kalimantan Utara;207372;11562;2021;Kota
Sulawesi Utara;587995;58678;2021;Kota
Sulawesi Tengah;460905;28058;2021;Kota
Sulawesi Selatan;1728666;183434;2021;Kota
Sulawesi Tenggara;457531;27898;2021;Kota
Gorontalo;244577;11089;2021;Kota
Sulawesi Barat;136870;6693;2021;Kota
Maluku;319371;36205;2021;Kota
Maluku Utara;158941;8157;2021;Kota
Papua Barat;185505;18506;2021;Kota
Papua;453360;34434;2021;Kota
Aceh;783834;71175;2022;Kota
Sumatera Utara;3842816;364822;2022;Kota
Sumatera Barat;1248314;131595;2022;Kota
Riau;1254793;82700;2022;Kota
Jambi;567422;44117;2022;Kota
Sumatera Selatan;1527727;121399;2022;Kota
Bengkulu;335267;16876;2022;Kota
Lampung;1364250;117074;2022;Kota
Kepulauan Bangka Belitung;409082;25422;2022;Kota
Kepulauan Riau;1026261;95608;2022;Kota
DKI Jakarta;4875102;377294;2022;Kota
Jawa Barat;18139410;1776102;2022;Kota
Jawa Tengah;9274455;740614;2022;Kota
D.I. Yogyakarta;1639673;82276;2022;Kota
Jawa Timur;11492967;966355;2022;Kota
Banten;4546004;402534;2022;Kota
Bali;1796326;106674;2022;Kota
Nusa Tenggara Barat;1328878;48412;2022;Kota
Nusa Tenggara Timur;653717;51329;2022;Kota
Kalimantan Barat;871833;83570;2022;Kota
Kalimantan Tengah;554023;37957;2022;Kota
Kalimantan Selatan;970681;64590;2022;Kota
Kalimantan Timur;1170612;84279;2022;Kota
Kalimantan Utara;216331;12530;2022;Kota
Sulawesi Utara;615366;55436;2022;Kota
Sulawesi Tengah;490541;22282;2022;Kota
Sulawesi Selatan;1843408;156797;2022;Kota
Sulawesi Tenggara;476228;23626;2022;Kota
Gorontalo;264453;9645;2022;Kota
Sulawesi Barat;142677;6450;2022;Kota
Maluku;340537;36552;2022;Kota
Maluku Utara;163686;10860;2022;Kota
Papua Barat;196097;17277;2022;Kota
Papua;461339;34910;2022;Kota
